,Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name
7448,GE,Tamil Nadu,7,35,1980,1.0,0,3,12,VELLAICHAMY ALIAS APPU REDDIAR,M,IND,709,,509343,756211.0,SIVAKASI,GEN,,15,67.35,0.14,yes,39,0.01,2.44,GETN27997,,10809,True,1,,,,,,0,False,False,False,,
7449,GE,Tamil Nadu,7,35,1980,1.0,0,3,13,RAJAN S.,M,IND,670,,509343,756211.0,SIVAKASI,GEN,,15,67.35,0.13,yes,100,0.02,2.44,GETN27998,,10809,True,1,,,,,,0,False,False,False,,
7450,GE,Tamil Nadu,7,35,1980,1.0,0,3,14,SANTHARAM V.N.,M,IND,570,,509343,756211.0,SIVAKASI,GEN,,15,67.35,0.11,yes,44,0.01,2.44,GETN28000,,10809,True,1,,,,,,0,False,False,False,,
7451,GE,Tamil Nadu,7,35,1980,1.0,0,3,15,LAKSHMANASUBBARAJULU G.,M,IND,526,,509343,756211.0,SIVAKASI,GEN,,15,67.35,0.1,yes,0,0.0,2.44,GETN24700,,10809,True,2,IND,10809.0,MADURAI,False,True,0,False,False,True,,
7452,GE,Tamil Nadu,7,36,1980,1.0,0,3,1,SIVAPRAKASAM D.S.A.,M,DMK,256626,,467531,702603.0,TIRUNELVELI,GEN,,9,66.54,54.89,no,59962,12.83,2.08,GETN28011,,10192,True,1,,,,,,1,False,False,False,,
7453,GE,Tamil Nadu,7,36,1980,1.0,0,3,2,ARUNACHALAM V.,M,ADK,196664,,467531,702603.0,TIRUNELVELI,GEN,,9,66.54,42.06,no,189050,40.44,2.08,GETN24753,,930,True,2,ADK,930.0,TIRUNELVELI,True,True,1,False,True,True,,
7454,GE,Tamil Nadu,7,36,1980,1.0,0,3,3,MURUGESAN S.,M,IND,7614,,467531,702603.0,TIRUNELVELI,GEN,,9,66.54,1.63,yes,5588,1.2,2.08,GETN272078,,10809,True,1,,,,,,0,False,False,False,,
7455,GE,Tamil Nadu,7,36,1980,1.0,0,3,4,PANDIAN,M,IND,2026,,467531,702603.0,TIRUNELVELI,GEN,,9,66.54,0.43,yes,770,0.16,2.08,GETN28005,,10809,True,1,,,,,,0,False,False,False,,
7456,GE,Tamil Nadu,7,36,1980,1.0,0,3,5,CHELLASAMY P.,M,IND,1256,,467531,702603.0,TIRUNELVELI,GEN,,9,66.54,0.27,yes,100,0.02,2.08,GETN272073,,10809,True,1,,,,,,0,False,False,False,,
7457,GE,Tamil Nadu,7,36,1980,1.0,0,3,6,SUBBA NAICKER S.,M,IND,1156,,467531,702603.0,TIRUNELVELI,GEN,,9,66.54,0.25,yes,299,0.06,2.08,GETN28013,,10809,True,1,,,,,,0,False,False,False,,
7458,GE,Tamil Nadu,7,36,1980,1.0,0,3,7,DAVID NADAR,M,IND,857,,467531,702603.0,TIRUNELVELI,GEN,,9,66.54,0.18,yes,17,0.0,2.08,GETN28008,,10809,True,1,,,,,,0,False,False,False,,
7459,GE,Tamil Nadu,7,36,1980,1.0,0,3,8,GNANNSUNDARAM PILLAI Z.,M,IND,840,,467531,702603.0,TIRUNELVELI,GEN,,9,66.54,0.18,yes,348,0.07,2.08,GETN28009,,10809,True,1,,,,,,0,False,False,False,,
7460,GE,Tamil Nadu,7,36,1980,1.0,0,3,9,RAMASAMY REDDIAR P.,M,IND,492,,467531,702603.0,TIRUNELVELI,GEN,,9,66.54,0.11,yes,0,0.0,2.08,GETN28006,,10809,True,1,,,,,,0,False,False,False,,
7461,GE,Tamil Nadu,7,37,1980,1.0,0,3,1,ARUNACHALAM M.,M,INC(I),272260,,436204,679386.0,TENKASI,SC,,2,64.21,62.42,no,108316,24.83,1.89,AETN207489,,3482,True,2,INC,3482.0,TENKASI,True,True,2,False,True,True,,
